label,text
ham,"Hey, are we still meeting tomorrow for lunch?"
ham,"Don't forget to send me the project report by evening."
spam,"Congratulations! You have won a $1000 Walmart gift card. Click here to claim!"
ham,"Please review the attached document and let me know."
spam,"You've been selected for a guaranteed loan. Apply now!"
ham,"Mom said she will be home early today."
spam,"Earn money fast working from home. Limited offer!"
ham,"Your appointment is scheduled for Monday at 5 PM."
spam,"URGENT: Your account is compromised. Verify your details immediately."
ham,"Thanks for your payment. Your order will be delivered soon."
spam,"WINNER! You've been chosen for a free vacation trip. Claim now!"
ham,"Can we reschedule our meeting to next Friday?"
spam,"Hot singles in your area want to chat. Click here!"
ham,"Meeting reminder: Team sync-up at 10 AM tomorrow."
spam,"Get rich quick! Join our exclusive cryptocurrency program today."
ham,"Your flight booking is confirmed. Have a nice trip!"
spam,"You are eligible for a free Netflix subscription. Redeem immediately."
ham,"Finished the assignment. Sending it shortly."
spam,"This is not spam. Claim your free iPhone now!"
ham,"Let's catch up this weekend if you're free."
